datetime,open,high,low,close
2023-06-14 00:00:00,11.52820,11.56630,11.48540,11.48730
2023-06-14 01:00:00,11.48780,11.50350,11.48600,11.49540
2023-06-14 02:00:00,11.49540,11.50110,11.48680,11.48810
2023-06-14 03:00:00,11.48830,11.49770,11.48750,11.49730
2023-06-14 04:00:00,11.49700,11.51290,11.49270,11.50240
2023-06-14 05:00:00,11.50251,11.50389,11.49710,11.49770
2023-06-14 06:00:00,11.49770,11.50040,11.48940,11.49300
2023-06-14 07:00:00,11.49370,11.51950,11.49360,11.50820
2023-06-14 08:00:00,11.50670,11.50982,11.49040,11.49240
2023-06-14 09:00:00,11.49511,11.50183,11.48960,11.49280
2023-06-14 10:00:00,11.49220,11.49830,11.49030,11.49540
2023-06-14 11:00:00,11.49510,11.50210,11.48840,11.49280
2023-06-14 12:00:00,11.49270,11.50494,11.48870,11.49810
2023-06-14 13:00:00,11.49790,11.49930,11.48900,11.48920
2023-06-14 14:00:00,11.48910,11.49040,11.48802,11.48960
2023-06-14 15:00:00,11.48970,11.48990,11.48160,11.48830
2023-06-14 16:00:00,11.48840,11.51380,11.47740,11.49540
2023-06-14 17:00:00,11.49390,11.50460,11.48440,11.48990
2023-06-14 18:00:00,11.48980,11.50500,11.47880,11.49810
2023-06-14 19:00:00,11.49730,11.50120,11.47160,11.47300
2023-06-14 20:00:00,11.47270,11.47651,11.45920,11.45920
2023-06-14 21:00:00,11.45910,11.46910,11.42180,11.46450
2023-06-14 22:00:00,11.46510,11.47810,11.43150,11.43750
2023-06-14 23:00:00,11.43760,11.44210,11.42030,11.44050
2023-06-15 00:00:00,11.44010,11.44670,11.42000,11.43100
2023-06-15 01:00:00,11.43070,11.46550,11.42885,11.45870
2023-06-15 02:00:00,11.45850,11.47630,11.45669,11.47480
2023-06-15 03:00:00,11.47500,11.52350,11.47500,11.52090
2023-06-15 04:00:00,11.51220,11.60760,11.49530,11.51040
2023-06-15 05:00:00,11.51100,11.55200,11.50530,11.52750
2023-06-15 06:00:00,11.52730,11.53640,11.52650,11.53200
2023-06-15 07:00:00,11.52920,11.54741,11.52305,11.53907
2023-06-15 08:00:00,11.53450,11.56164,11.52450,11.53260
2023-06-15 09:00:00,11.52920,11.53750,11.52891,11.53660
2023-06-15 10:00:00,11.53690,11.56200,11.53610,11.55460
2023-06-15 11:00:00,11.55490,11.57395,11.54630,11.56960
2023-06-15 12:00:00,11.56940,11.57190,11.56490,11.56660
2023-06-15 13:00:00,11.56580,11.56840,11.56140,11.56500
2023-06-15 14:00:00,11.56510,11.57650,11.56090,11.56880
2023-06-15 15:00:00,11.56950,11.57543,11.54750,11.56650
